,borough,block,lot,lat,lng,address
8931,Brooklyn,1520,51,40.680893,-73.914687,"265 Sumpter St, Brooklyn, NY 11233, USA"
8932,Brooklyn,1530,1,40.6788787,-73.9194577,"1925 Fulton St, Brooklyn, NY 11233, USA"
8933,Brooklyn,1532,30,40.6796107,-73.9141302,"146 Thomas S Boyland St, Brooklyn, NY 11233, USA"
8934,Brooklyn,1535,14,40.6806037,-73.9069707,"330 MacDougal St, Brooklyn, NY 11233, USA"
8935,Brooklyn,1542,37,40.678909,-73.908528,"84 Mother Gaston Blvd, Brooklyn, NY 11233, USA"
8936,Brooklyn,1550,31,40.6782875,-73.9138412,"2094 Fulton St, Brooklyn, NY 11233, USA"
8937,Brooklyn,1550,36,40.6778552,-73.9134699,"1203 Herkimer St, Brooklyn, NY 11233, USA"
8938,Brooklyn,1554,16,40.6774829,-73.9038472,"2440 Fulton St, Brooklyn, NY 11233, USA"
8939,Brooklyn,1578,5,40.6998607,-73.9408951,"784 Broadway, Brooklyn, NY 11206, USA"
8940,Brooklyn,1579,37,40.6988987,-73.939828,"883 Park Ave, Brooklyn, NY 11206, USA"
8941,Brooklyn,1588,1,40.6949383,-73.9402581,"113 Marcus Garvey Blvd, Brooklyn, NY 11206, USA"
8942,Brooklyn,1590,17,40.6959272,-73.9337412,"1000 Broadway, Brooklyn, NY 11221, USA"
8943,Brooklyn,1591,17,40.6949208,-73.9390662,"742 Willoughby Ave, Brooklyn, NY 11206, USA"
8944,Brooklyn,1591,40,40.694969,-73.9377904,"78 Lewis Ave, Brooklyn, NY 11206, USA"
8945,Brooklyn,1595,61,40.6940222,-73.9358325,"375 Pulaski St, Brooklyn, NY 11206, USA"
8946,Brooklyn,1595,66,40.6939227,-73.935781,"371 Pulaski St, Brooklyn, NY 11206, USA"
8947,Brooklyn,1599,30,40.6941432,-73.931994,"470 Pulaski St, Brooklyn, NY 11221, USA"
8948,Brooklyn,1601,4,40.6925689,-73.9394127,"910 Dekalb Ave, Brooklyn, NY 11221, USA"
8949,Brooklyn,1605,1,40.6918036,-73.939569,"372 Kosciuszko St, Brooklyn, NY 11221, USA"
8950,Brooklyn,1605,76,40.6914556,-73.9393543,"825 Lafayette Ave, Brooklyn, NY 11221, USA"
8951,Brooklyn,1618,3,40.691526,-73.927472,"29 Patchen Ave, Brooklyn, NY 11221, USA"
8952,Brooklyn,1618,35,40.6914844,-73.9263828,"1003 Greene Ave, Brooklyn, NY 11221, USA"
8953,Brooklyn,1623,39,40.6910278,-73.9252117,"1262 Broadway, Brooklyn, NY 11221, USA"
8954,Brooklyn,1624,1,40.688554,-73.9385562,"523 Quincy St, Brooklyn, NY 11221, USA"
8955,Brooklyn,1625,34,40.6894617,-73.9338595,"648 Lexington Ave, Brooklyn, NY 11221, USA"
8956,Brooklyn,1629,1,40.6878044,-73.9384104,"701 Gates Ave, Brooklyn, NY 11221, USA"
8957,Brooklyn,1630,1,40.6882161,-73.9355308,"775 Gates Ave, Brooklyn, NY 11221, USA"
8958,Brooklyn,1634,1,40.6874756,-73.9383093,"650 Gates Ave, Brooklyn, NY 11221, USA"
8959,Brooklyn,1638,6,40.6889098,-73.9255245,"956 Gates Ave, Brooklyn, NY 11221, USA"
8960,Brooklyn,1656,30,40.685328,-73.9306893,"674 Jefferson Ave, Brooklyn, NY 11221, USA"
8961,Brooklyn,1676,1,40.6818652,-73.9315492,"305 Decatur St, Brooklyn, NY 11233, USA"
8962,Brooklyn,1683,85,40.681877,-73.925135,"289 Bainbridge St, Brooklyn, NY 11233, USA"
8963,Brooklyn,1684,1,40.6799139,-73.9362843,"1625 Fulton St, Brooklyn, NY 11233, USA"
8964,Brooklyn,1686,30,40.680817,-73.929712,"180 Bainbridge St, Brooklyn, NY 11233, USA"
8965,Brooklyn,1691,12,40.6803,-73.9289806,"132 Chauncey St, Brooklyn, NY 11233, USA"
8966,Brooklyn,1699,27,40.67943,-73.936712,"1604 Fulton St, Brooklyn, NY 11213, USA"
8967,Brooklyn,1700,17,40.6794761,-73.932902,"1692 Fulton St, Brooklyn, NY 11213, USA"
8968,Brooklyn,1701,1,40.6775067,-73.930344,"1727 Atlantic Ave, Brooklyn, NY 11233, USA"
8969,Brooklyn,1702,1,40.6792905,-73.9294118,"1754 Fulton St, Brooklyn, NY 11233, USA"
8970,Brooklyn,1708,1,40.6775021,-73.9302604,"1729 Atlantic Ave, Brooklyn, NY 11233, USA"
8971,Brooklyn,1710,21,40.6781656,-73.9256317,"840 Herkimer St, Brooklyn, NY 11233, USA"
8972,Brooklyn,1713,7,40.677292,-73.9230137,"1873 Atlantic Ave, Brooklyn, NY 11233, USA"
8973,Brooklyn,1715,103,40.6975751,-73.9560349,"44 Spencer St, Brooklyn, NY 11205, USA"
8974,Brooklyn,1737,1,40.6964877,-73.9530323,"108 Nostrand Ave, Brooklyn, NY 11205, USA"
8975,Brooklyn,1739,6,40.697407,-73.949316,"519 Marcy Ave, Brooklyn, NY 11206, USA"
8976,Brooklyn,1747,34,Not Found,,
8977,Brooklyn,1750,24,40.6943969,-73.9551804,"704 Myrtle Ave, Brooklyn, NY 11205, USA"
8978,Brooklyn,1751,10,40.693997,-73.9548652,"141 Spencer St, Brooklyn, NY 11205, USA"
8979,Brooklyn,1751,25,40.6946735,-73.9544341,"722 Myrtle Ave, Brooklyn, NY 11205, USA"
8980,Brooklyn,1752,35,40.694176,-73.9537081,"156 Sanford St, Brooklyn, NY 11205, USA"
8981,Brooklyn,1753,4,40.6414369,-73.9485659,"Nostrand Ave, Brooklyn, NY, USA"
